iter	Passed	Remaining
0	3	345
1	5	270
2	12	402
3	14	339
4	16	308
5	17	281
6	18	251
7	19	229
8	20	212
9	27	245
10	29	236
11	30	222
12	31	211
13	32	200
14	33	191
15	34	182
16	35	174
17	41	191
18	43	184
19	44	178
20	46	176
21	47	169
22	48	163
23	49	158
24	53	160
25	56	160
26	57	155
27	60	155
28	61	150
29	62	146
30	64	142
31	66	142
32	69	140
33	70	137
34	73	135
35	74	132
36	75	128
37	76	124
38	77	121
39	78	117
40	79	114
41	80	110
42	84	112
43	88	113
44	89	109
45	90	106
46	92	103
47	93	101
48	94	98
49	95	95
50	98	94
51	101	93
52	103	91
53	104	89
54	105	86
55	106	83
56	107	81
57	108	78
58	109	76
59	112	75
60	116	74
61	118	72
62	119	70
63	121	68
64	122	65
65	123	63
66	124	61
67	125	58
68	130	58
69	132	56
70	135	55
71	139	54
72	140	52
73	146	51
74	147	49
75	148	47
76	149	44
77	151	42
78	152	40
79	155	38
80	157	36
81	158	34
82	162	33
83	163	31
84	164	28
85	165	26
86	166	24
87	168	22
88	172	21
89	174	19
90	177	17
91	178	15
92	180	13
93	181	11
94	182	9
95	188	7
96	189	5
97	192	3
98	193	1
99	194	0
